Ссылка,Бренд,Модель,Цвет,Характеристики,Пол,Цена,Картинки,Картинки_в_файле
/p-nike-air-max-90-terrascape-white-grey-krossovki-nike-air-max-90-terrascape-white-grey-V121136861,"Кроссовки Nike Air Max 90 Terrascape ""White Grey"" DQ3987-101","Кроссовки Nike Air Max 90 Terrascape ""White Grey"" DQ3987-101",,"{'Эко-материалы': 'Эко-материалы:В производстве используются переработанные материалы, что подчеркивает заботу бренда о экологичности и устойчивом развитии.', 'Max Air амортизация': 'Max Air амортизация:Встроенная в подошву воздушная подушка Air Max обеспечивает превосходную амортизацию, снижая нагрузку на ноги при ходьбе и беге.', 'Прочная подошва': 'Прочная подошва:Стойкая к износу подошва с тщательным рисунком протектора обеспечивает уверенное сцепление с различными поверхностями.', 'Комфорт и поддержка': 'Комфорт и поддержка:Внутренний материал и эргономичный дизайн кроссовок гарантируют отличную подушку и поддержку стопы даже при длительном ношении.', 'Легкость ухода': 'Легкость ухода:Кроссовки легко чистятся, что позволяет долго сохранять их первоначальный внешний вид.'}",Мужской,12 051 ,https://cdn.4stand.com/large/4a/bb/4abbbb18d374a0d79defd3d24dcaf43fe4e21868.jpg,4abbbb18d374a0d79defd3d24dcaf43fe4e21868.jpg
/p-nike-air-monarch-4-white-black-varsity-red-krossovki-nike-air-monarch-4-415445-101-V121040164,Кроссовки Nike Air Monarch 4 white black-varsity red 415445-101,Кроссовки Nike Air Monarch 4 white black-varsity red 415445-101,,{},"Женский, Мужской",7 207 ,https://cdn.4stand.com/large/4e/2e/4e2e5cf3e09415eaf8401edc46d87acccfc32f29.jpg,4e2e5cf3e09415eaf8401edc46d87acccfc32f29.jpg
/p-nike-dunk-low-retro-V129222061,Nike Dunk Low Retro,Nike Dunk Low Retro,"Черный, Белый",{},Мужской,15 219 ,https://cdn.4stand.com/large/a8/e7/a8e75723ee8f49c2fdb2d4d3b4b6462b6393ef1b.jpg,a8e75723ee8f49c2fdb2d4d3b4b6462b6393ef1b.jpg
/p-nike-air-force-1-low-V146034324,Кроссовки Nike Air Force 1 Low FJ4146-100,Кроссовки Nike Air Force 1 Low FJ4146-100,,{},Мужской,12 300 ,https://cdn.4stand.com/large/13/5b/135ba829eaba7dad751cf30d6be4a0425a6c803f.jpg,135ba829eaba7dad751cf30d6be4a0425a6c803f.jpg
/p-nike-cortez-V149719315,Кроссовки Nike Cortez DM4044-400,Кроссовки Nike Cortez DM4044-400,,"{'Цвет': 'Цвет:Midnight Navy (глубокий тёмно-синий).', 'Материалы': 'Материалы:Верх кроссовок изготовлен из высококачественного текстиля и синтетической кожи, что обеспечивает долговечность и комфорт. Подкладка из мягкого текстиля дарит дополнительное удобство и предотвращает натирание.', 'Дизайн': 'Дизайн:Классический силуэт Nike Cortez с современными акцентами. Яркий белый логотип Swoosh на боковых панелях контрастирует с синей основой, придавая обуви стильный вид. Белая промежуточная подошва с чёрной полосой подчеркивает элегантность модели.', 'Подошва': 'Подошва:Резиновая подошва с классическим ёлочным протектором обеспечивает отличное сцепление с поверхностью и устойчивость на различных покрытиях.', 'Размеры и посадка': 'Размеры и посадка:Разработанные для оптимального комфорта, кроссовки доступны в широком диапазоне размеров, что позволяет подобрать подходящую пару для любой ноги.'}","Женский, Мужской",9 318 ,https://cdn.4stand.com/large/4c/64/4c6405848fd4e6c25897d22981b68ccb15272325.jpg,4c6405848fd4e6c25897d22981b68ccb15272325.jpg
/p-ambush-x-nike-air-adjust-force-sp-black-krossovki-ambush-x-nike-air-adjust-force-V146405037,"Кроссовки AMBUSH x Nike Air Adjust Force sp ""black"" DM8465-001","Кроссовки AMBUSH x Nike Air Adjust Force sp ""black"" DM8465-001",,"{'Материал верха': 'Материал верха:Высококачественная синтетическая кожа и текстиль, обеспечивающие комфорт, прочность и отличную вентиляцию.', 'Подошва': 'Подошва:Прочная резина с антивибрационной технологией, которая гарантирует превосходное сцепление, амортизацию и устойчивость на различных поверхностях.', 'Дизайн': 'Дизайн:Современный черный цвет с фирменными элементами AMBUSH и Nike. Ретро-эстетика в сочетании с актуальными модными тенденциями делает эти кроссовки стильным дополнением любого образа.', 'Поддержка стопы': 'Поддержка стопы:Удобная посадка и надежная поддержка стопы обеспечивают комфорт при длительном ношении и различных физических нагрузках.', 'Тип': 'Тип:Унисекс. Эти кроссовки подходят как для мужчин, так и для женщин, что делает их универсальной моделью для поклонников баскетбольного стиля.'}",Мужской,15 033 ,https://cdn.4stand.com/large/5b/b6/5bb6d6424da3f03a2a53ffd5e92bd95e98a56c1f.jpg,5bb6d6424da3f03a2a53ffd5e92bd95e98a56c1f.jpg
/p-nike-air-max-plus-tpu-V149719115,Nike Air Max Plus TPU皮革 舒适 百搭 防滑耐磨 低帮 生活休闲鞋 男款 米绿,Nike Air Max Plus TPU皮革 舒适 百搭 防滑耐磨 低帮 生活休闲鞋 男款 米绿,,{},Мужской,11 306 ,https://cdn.4stand.com/large/25/ef/25ef5178f2f48ff8435be80ba27c42a9e570a2e5.jpg,25ef5178f2f48ff8435be80ba27c42a9e570a2e5.jpg
/p-nike-zoom-2k-krossovki-nike-zoom-2k-ao0354-100-V149721283,Кроссовки Nike Zoom 2K AO0354-100,Кроссовки Nike Zoom 2K AO0354-100,,"{'Верхняя часть': 'Верхняя часть:Кроссовки изготовлены из прочного и легкого материала, который обеспечивает отличную воздухопроницаемость и гибкость. Дополнительные накладки из синтетической кожи добавляют прочности и стиля.', 'Подошва': 'Подошва:Мягкая и отзывчивая промежуточная подошва с технологией Zoom Air обеспечивает отличную амортизацию и снижает нагрузку на суставы во время бега и ходьбы. Резиновая подметка с вафельным рисунком гарантирует надежное сцепление с поверхностью.', 'Дизайн': 'Дизайн:Черно-белая цветовая гамма придает модели элегантный вид, который легко сочетать с различными стилями одежды. Ассиметричные линии и яркие детали добавляют динамичности и современности.', 'Комфорт': 'Комфорт:Внутренняя часть кроссовка выполнена из мягкого материала, который не натирает и не вызывает дискомфорта. Шнуровка и специальная конструкция пятки позволяют надежно фиксировать стопу, обеспечивая дополнительную поддержку.'}",Мужской,5 418 ,https://cdn.4stand.com/large/7f/6e/7f6e575e6b117f8a6ec34ed17363049b63214304.jpg,7f6e575e6b117f8a6ec34ed17363049b63214304.jpg
/p-nike-air-humara-qs-faded-spruce-night-maroon-obsidian-10-V144562897,Кроссовки Nike Air Humara QS,Кроссовки Nike Air Humara QS,,{},,9 155 ,https://cdn.4stand.com/large/b4/05/b405660e4371ecbcee01e4bb63e903b6db5dde04.jpg,b405660e4371ecbcee01e4bb63e903b6db5dde04.jpg
/p-nike-air-max-plus-longtaitou-krossovki-nike-air-max-plus-longtaitou-fd4202-107-V121517949,"Кроссовки Nike Air Max Plus ""Longtaitou"" FD4202-107","Кроссовки Nike Air Max Plus ""Longtaitou"" FD4202-107",,"{'Дизайн': 'Дизайн:Эффектное сочетание белого и голубого цветов придаёт кроссовкам свежий и современный вид. Яркие акценты подчеркивают динамичность и индивидуальность.', 'Амортизация': 'Амортизация:Фирменная технологияAir Maxобеспечивает мягкую амортизацию, снижая нагрузку на суставы и улучшая комфорт при ходьбе и беге.', 'Материалы': 'Материалы:Верх изготовлен из высококачественных материалов, включая вставки из сетки для улучшенной вентиляции и создания комфортного микроклимата.', 'Подошва': 'Подошва:Резиновая подошва с протектором гарантирует отличное сцепление с поверхностью, что делает кроссовки подходящими для различных условий эксплуатации.', 'Конструкция и удобство': 'Конструкция и удобство:Продуманная конструкция обеспечивает удобную посадку по ноге, делая эти кроссовки идеальными для длительного ношения и активного образа жизни.'}",Мужской,9 318 ,https://cdn.4stand.com/large/dc/9e/dc9e7819fc96647033afd093dac662b984deebe7.jpg,dc9e7819fc96647033afd093dac662b984deebe7.jpg
/p-nike-air-force-1-07-V152340967,Nike Air Force 1 07,Nike Air Force 1 07,Черный,{},Мужской,21 714 ,https://cdn.4stand.com/large/b0/52/b052daaf08c55447b54ba7554cf9d65a66f55859.jpg,b052daaf08c55447b54ba7554cf9d65a66f55859.jpg
/p-nike-air-monarch-iv-V152324230,Nike Air Monarch IV,Nike Air Monarch IV,Черный,{},Мужской,10 776 ,https://cdn.4stand.com/large/b4/c2/b4c22c1bbc6390f15d149d0a4de8795088c22135.jpg,b4c22c1bbc6390f15d149d0a4de8795088c22135.jpg
/p-nike-react-pegasus-trail-4-V152339152,Nike React Pegasus Trail 4,Nike React Pegasus Trail 4,Черный,{},Мужской,15 730 ,https://cdn.4stand.com/large/5c/fe/5cfe7633f524bd7756a922dbcb32ff426ff50803.jpg,5cfe7633f524bd7756a922dbcb32ff426ff50803.jpg
/p-nike-p-6000-V149719126,Кроссовки Nike P-6000 HJ3488-001,Кроссовки Nike P-6000 HJ3488-001,,{},Мужской,11 554 ,https://cdn.4stand.com/large/62/00/620076869ea4c47e8a64aec3373fd4ac27eba9d2.jpg,620076869ea4c47e8a64aec3373fd4ac27eba9d2.jpg
/p-nike-initiator-krossovki-nike-initiator-394055-400-V149721125,Кроссовки Nike Initiator 394055-400,Кроссовки Nike Initiator 394055-400,,"{'Верхний материал': 'Верхний материал:Качественная текстильная сетка с элементами из синтетической кожи, обеспечивающая отличную вентиляцию и поддержку стопы.', 'Подошва': 'Подошва:Легкая и прочная подошва с амортизацией для снижения нагрузки на ноги во время бега и ходьбы.', 'Сцепление': 'Сцепление:Специальные вставки TPR в подошве увеличивают сцепление с поверхностью, обеспечивая надежную устойчивость и предотвращая скольжение.', 'Комфорт': 'Комфорт:Эргономичная конструкция и удобная стелька создают комфорт даже при длительном ношении.', 'Фиксация стопы': 'Фиксация стопы:Надежная шнуровка гарантирует плотную посадку и дополнительную фиксацию стопы.'}",Мужской,5 741 ,https://cdn.4stand.com/large/3d/12/3d12432980d0406da6b836b5e9248c850e944fca.jpg,3d12432980d0406da6b836b5e9248c850e944fca.jpg
/p-nike-huarache-next-nature-obuv-sportivnaya-nike-huarache-next-nature-dm0863-300-V149722352,Обувь спортивная Nike Huarache Next Nature DM0863-300,Обувь спортивная Nike Huarache Next Nature DM0863-300,,"{'Модель': 'Модель:Nike Huarache Next DM0863-300', 'Материалы': 'Материалы:Высококачественные синтетические и текстильные материалы', 'Цвет': 'Цвет:В зависимости от конкретной версии модели', 'Верхняя часть': 'Верхняя часть:Дышащие материалы для обеспечения вентиляции', 'Подошва': 'Подошва:Гибкая и амортизирующая, с отличным сцеплением', 'Назначение': 'Назначение:Повседневное ношение, активный отдых, занятия спортом', 'Особенности': 'Особенности:Современный дизайн, хорошая вентиляция, повышенный комфорт'}",Мужской,6 784 ,https://cdn.4stand.com/large/26/a5/26a532de13cab739ad0be30119653cc317b281c0.jpg,26a532de13cab739ad0be30119653cc317b281c0.jpg
/p-nike-air-max-tw-se-krossovki-nike-air-max-tw-se-fj7071-070-V120937512,Кроссовки Nike Air Max TW SE Grey  inine,Кроссовки Nike Air Max TW SE Grey inine,,"{'Цвет': 'Цвет:Серый', 'Материал верха': 'Материал верха:Сетчатая ткань и синтетические материалы, обеспечивающие отличную вентиляцию и комфорт при длительном ношении.', 'Подошва': 'Подошва:Резиновая подошва с вставками Air Max для превосходной амортизации и поддержки, что снижает нагрузку на стопы и суставы.', 'Детали дизайна': 'Детали дизайна:Классическая шнуровка для плотного прилегания к ноге, фирменные логотипы Nike на боковых сторонах и заднике, придающие обуви узнаваемый стиль.', 'Дополнительные особенности': 'Дополнительные особенности:Легкий вес и гибкость, что позволяет носить кроссовки весь день без ощущения усталости.'}",Мужской,8 822 ,https://cdn.4stand.com/large/a5/31/a5317c1fe74c13099d05414226ff8d66835827ed.jpg,a5317c1fe74c13099d05414226ff8d66835827ed.jpg
/p-nike-waffle-debu-krossovki-nike-waffle-debu-dh9522-001-V149722262,Кроссовки Nike Waffle debu DH9522-001,Кроссовки Nike Waffle debu DH9522-001,,"{'Материал верха': 'Материал верха:Верх обуви выполнен из высококачественных синтетических материалов и текстиля, которые обеспечивают долговечность и оптимальную вентиляцию.', 'Подошва': 'Подошва:Особая вафельная подошва обеспечивает отличное сцепление с различными поверхностями и амортизацию при ходьбе или беге. Она также обладает высокой износостойкостью.', 'Дизайн': 'Дизайн:Современный дизайн с шикарным сочетанием черного и белого цветов. Легендарный логотип Nike подчеркивает стиль и статус обуви.', 'Комфорт': 'Комфорт:Встроенная амортизация снижает нагрузку на стопу, предоставляя дополнительный комфорт даже при длительном ношении. Мягкий внутренний слой обеспечивает уют и предотвращает натирания.', 'Фиксация': 'Фиксация:Классическая шнуровка обеспечивает надежную фиксацию и удобную посадку на ноге, позволяя легко адаптировать обувь под индивидуальные потребности.', 'Вес': 'Вес:Легкая конструкция, благодаря которой кроссовки не создают дополнительной нагрузки на ноги.'}",Мужской,6 610 ,https://cdn.4stand.com/large/dc/ff/dcff9ad65c4d4c043f0ef1bee186d7e5db2a4fa6.jpg,dcff9ad65c4d4c043f0ef1bee186d7e5db2a4fa6.jpg
/p-ambush-x-nike-air-adjust-force-sp-orange-krossovki-ambush-x-nike-air-adjust-force-V146417303,"Кроссовки AMBUSH x Nike Air Adjust Force sp ""orange"" DM8465-800","Кроссовки AMBUSH x Nike Air Adjust Force sp ""orange"" DM8465-800",,{},Мужской,12 797 ,https://cdn.4stand.com/large/a3/ea/a3eadd5e1422f1f113d17b2dd5a9e05fecd8b004.jpg,a3eadd5e1422f1f113d17b2dd5a9e05fecd8b004.jpg
/p-nike-air-pegasus-89-weisse-retro-sneaker-V152201651,Nike – Air Pegasus '89 – Weiße Retro-Sneaker,Nike – Air Pegasus '89 – Weiße Retro-Sneaker,weiß,"{'Верхняя часть': 'Верхняя часть:Комбинация текстиля и замши для прочности и стильного внешнего вида', 'Вставки из сетки': 'Вставки из сетки:Обеспечивают отличную вентиляцию, помогая ногам оставаться сухими', 'Амортизирующая система Air': 'Амортизирующая система Air:Подошва с амортизирующей вставкой для комфорта при каждом шаге', 'Подошва': 'Подошва:Прочная резина для долговечности и надежного сцепления с поверхностью', 'Цвет': 'Цвет:Универсальный белый цвет, который легко сочетается с любым гардеробом'}",,13 926 ,https://cdn.4stand.com/large/37/a4/37a4381ed10b86c0037468484b01856714f6da28.jpg,37a4381ed10b86c0037468484b01856714f6da28.jpg
/p-nike-downshifter-11-V129224457,Nike Downshifter 11,Nike Downshifter 11,Черный,{},Мужской,9 580 ,https://cdn.4stand.com/large/02/89/02895f7133b82d80e2a34ec4f9eda0db5c7dd3f4.jpg,02895f7133b82d80e2a34ec4f9eda0db5c7dd3f4.jpg
/p-nike-air-kukini-pu-V149718912,Кроссовки Nike Air Kukini PU DV0659-400,Кроссовки Nike Air Kukini PU DV0659-400,,{},"Женский, Мужской",6 834 ,https://cdn.4stand.com/large/53/8e/538eeb585de304e193fb93719787526d0465c7b3.jpg,538eeb585de304e193fb93719787526d0465c7b3.jpg
/p-nike-air-huarache-runner-krossovki-nike-air-huarache-runner-dz3306-002-V121515791,Кроссовки Nike Air Huarache DZ3306-002,Кроссовки Nike Air Huarache DZ3306-002,,"{'Материал верха': 'Материал верха:Кожа, текстиль и сетка для прочности, легкости и отличной вентиляции.', 'Технология амортизации': 'Технология амортизации:Фирменная подошва Nike Air обеспечивает комфорт и снижает нагрузку на стопы при ходьбе и беге.', 'Фиксация стопы': 'Фиксация стопы:Дополнительные вставки и ремешок на пятке обеспечивают надежную фиксацию и стабильность.', 'Подошва': 'Подошва:Из мягкой пены и резины для превосходного сцепления и долговечности.', 'Цвет': 'Цвет:Черный'}","Женский, Мужской",11 803 ,https://cdn.4stand.com/large/e1/b3/e1b3a6f04c8dc4cb160597d64c62d780e3c56396.jpg,e1b3a6f04c8dc4cb160597d64c62d780e3c56396.jpg
/p-nike-air-max-flyknit-racer-krossovki-nike-air-max-flyknit-racer-dj6106-001-V149285722,Кроссовки Nike Air Max Flyknit Racer DJ6106-001,Кроссовки Nike Air Max Flyknit Racer DJ6106-001,,"{'Материал верха': 'Материал верха:Flyknit – легкий, комфортный и позволяющий ногам ""дышать"".', 'Амортизация': 'Амортизация:Технология Air Max в подошве обеспечивает отличную амортизацию и защиту от ударных нагрузок при ходьбе и беге.', 'Подошва': 'Подошва:Прочная резиновая подошва с рельефным рисунком для оптимального сцепления с поверхностью.', 'Стелька': 'Стелька:Анатомически правильно подобранная стелька, обеспечивающая отличную поддержку и комфорт для стопы.'}",Мужской,7 430 ,https://cdn.4stand.com/large/79/2d/792d226d6e1120ccff267c9fd25428858f2d72e6.jpg,792d226d6e1120ccff267c9fd25428858f2d72e6.jpg
/p-patta-x-nike-air-max-1-night-maroon-krossovki-patta-x-nike-air-max-1-V121141340,"Кроссовки Patta x Nike Air Max 1 ""night maroon"" DO9549-001","Кроссовки Patta x Nike Air Max 1 ""night maroon"" DO9549-001",,{},Мужской,9 865 ,https://cdn.4stand.com/large/7d/d2/7dd207675ca6241c4c596b31a2cd0cc0565605bc.jpg,7dd207675ca6241c4c596b31a2cd0cc0565605bc.jpg
/p-nike-air-jordan-11-V152338601,Nike Air Jordan 11,Nike Air Jordan 11,Черный,{},Мужской,21 714 ,https://cdn.4stand.com/large/8e/11/8e11d50c272f06ed1fa3d8205bce218d57368ba2.jpg,8e11d50c272f06ed1fa3d8205bce218d57368ba2.jpg
/p-union-x-nike-cortez-sp-light-smoke-grey-krossovki-nike-cortez-sp-light-smoke-grey-V149720939,"Кроссовки Nike Cortez sp ""light smoke grey"" DR1413-002","Кроссовки Nike Cortez sp ""light smoke grey"" DR1413-002",,"{'Материалы': 'Материалы:Верхняя часть выполнена из прочного и легкого текстиля, что обеспечивает хорошую вентиляцию и комфорт на протяжении всего дня. Вставки из замши добавляют прочности и стилистической выразительности.', 'Дизайн': 'Дизайн:Классический силуэт Nike Cortez дополнен современными деталями и светло-серой расцветкой, которая придаёт обуви стильный и актуальный внешний вид. Логотип Nike на боковой стороне и пяточной части добавляет узнаваемости и фирменного стиля.', 'Комфорт': 'Комфорт:Подошва изготовлена из высококачественной резины, что гарантирует отличное сцепление с поверхностью и амортизацию при ходьбе. Внутренняя подкладка из мягкого текстиля обеспечивает дополнительный комфорт и удобство.', 'Функциональность': 'Функциональность:Лёгкие и удобные, эти кроссовки подходят для длительных прогулок, занятий спортом и повседневной носки. Их универсальный дизайн позволяет легко сочетать их с jeans, спортивной одеждой и даже casual-образами.'}",Мужской,11 231 ,https://cdn.4stand.com/large/07/f8/07f85c85cf0fe2bd4bfc5bca02c80459b1916065.jpg,07f85c85cf0fe2bd4bfc5bca02c80459b1916065.jpg
/p-nike-jordan-max-aura-5-V129376111,Nike Jordan Max Aura 5,Nike Jordan Max Aura 5,Черный,{},Мужской,19 493 ,https://cdn.4stand.com/large/0c/96/0c969d07aa78763b2cf6b987381151d73dc692fa.jpg,0c969d07aa78763b2cf6b987381151d73dc692fa.jpg
/p-nike-air-max-plus-drift-fd4290-700-V143748799,Air Max Plus Drift | FD4290-700,Air Max Plus Drift | FD4290-700,LT LEMON TWIST/BLACK-STADIUM GREEN,{},Мужской,20 766 ,https://cdn.4stand.com/large/f9/55/f95581a231c0ba037c5dfac654f61c3fd221bddc.jpg,f95581a231c0ba037c5dfac654f61c3fd221bddc.jpg
/p-nike-air-max-invigor-gs-V152323893,Nike Air Max Invigor GS,Nike Air Max Invigor GS,Черный,{},Мужской,13 340 ,https://cdn.4stand.com/large/00/3c/003c7d78298de249831976399547253a48f70930.jpg,003c7d78298de249831976399547253a48f70930.jpg
